numero;categoria;slug;origem
44;Assistente Operacional;realtime-collaboration-engineer;engineering/engineering-realtime-collaboration-engineer.md
45;Assistente Operacional;video-streaming-engineer;engineering/engineering-video-streaming-engineer.md
46;Assistente Operacional;mobile-app-builder;engineering/engineering-mobile-app-builder.md
47;Assistente Operacional;privacy-engineer;engineering/engineering-privacy-engineer.md
48;Assistente Operacional;secrets-credential-hygiene-engineer;security/security-secrets-credential-engineer.md
49;Assistente Operacional;model-qa-specialist;specialized/specialized-model-qa.md
50;Assistente Operacional;search-relevance-engineer;engineering/engineering-search-relevance-engineer.md
51;Assistente Operacional;database-reliability-engineer;engineering/engineering-database-reliability-engineer.md
52;Assistente Operacional;network-engineer;engineering/engineering-network-engineer.md
53;Assistente Operacional;rapid-prototyper;engineering/engineering-rapid-prototyper.md
54;Assistente Operacional;data-privacy-officer;specialized/data-privacy-officer.md
55;Aplicações Complexas;product-manager;product/product-manager.md
56;Aplicações Complexas;ux-researcher;design/design-ux-researcher.md
57;Aplicações Complexas;ux-architect;design/design-ux-architect.md
58;Aplicações Complexas;ui-designer;design/design-ui-designer.md
59;Aplicações Complexas;ui-finish-gate-reviewer;design/design-ui-finish-gate-reviewer.md
60;Aplicações Complexas;backend-architect;engineering/engineering-backend-architect.md
61;Aplicações Complexas;workflow-architect;specialized/specialized-workflow-architect.md
62;Aplicações Complexas;security-architect;security/security-architect.md
63;Aplicações Complexas;cloud-security-architect;security/security-cloud-security-architect.md
64;Aplicações Complexas;penetration-tester;security/security-penetration-tester.md
65;Aplicações Complexas;performance-benchmarker;testing/testing-performance-benchmarker.md
66;Aplicações Complexas;accessibility-auditor;testing/testing-accessibility-auditor.md
67;Aplicações Complexas;git-workflow-master;engineering/engineering-git-workflow-master.md
68;Aplicações Complexas;finops-engineer;engineering/engineering-finops-engineer.md
69;Extras Essenciais;ai-generated-code-auditor;security/security-ai-generated-code-auditor.md
70;Extras Essenciais;test-results-analyzer;testing/testing-test-results-analyzer.md
71;Extras Essenciais;tool-evaluator;testing/testing-tool-evaluator.md
72;Extras Essenciais;product-sprint-prioritizer;product/product-sprint-prioritizer.md
73;Extras Essenciais;compliance-auditor;security/security-compliance-auditor.md
74;Extras Essenciais;mobile-release-engineer;engineering/engineering-mobile-release-engineer.md
75;Extras Essenciais;payments-billing-engineer;engineering/engineering-payments-billing-engineer.md
76;Customizado;visual-operations-copilot;Criado pelo instalador
